#{"t_start": 1617895544.1983058, "env_id": "sdnsampling-MTD-exp-v0"}
r,l,t
123,1,9055.138324
112,1,9065.603017
107,1,9075.860185
105,1,9086.150872
113,1,9096.650337
116,1,9107.071679
106,1,9117.490898
125,1,9128.08804
0,1,9137.947769
113,1,9148.471454
111,1,9158.970775
0,1,9168.733993
0,1,9178.422645
110,1,9189.152827
0,1,9198.847958
0,1,9208.665016
0,1,9218.361747
116,1,9228.671406
121,1,9239.618843
122,1,9250.144754
0,1,9259.860387
0,1,9269.599251
111,1,9279.973412
114,1,9290.453697
122,1,9300.856668
123,1,9311.153777
107,1,9321.408107
109,1,9331.803853
122,1,9342.142637
0,1,9351.85988
0,1,9361.492416
0,1,9371.064238
0,1,9380.626141
117,1,9390.936442
123,1,9401.32952
119,1,9411.851367
109,1,9422.031108
0,1,9431.610066
0,1,9441.173969
107,1,9451.488615
103,1,9461.869644
105,1,9472.16355
0,1,9481.779708
0,1,9491.348724
0,1,9500.856839
112,1,9511.19161
0,1,9520.738423
110,1,9531.121736
106,1,9541.491558
0,1,9551.055396
0,1,9560.584051
0,1,9570.101809
0,1,9579.643536
0,1,9589.235513
0,1,9598.68803
0,1,9608.183705
0,1,9617.684009
0,1,9627.210761
123,1,9637.460015
0,1,9647.056911
124,1,9657.512534
0,1,9667.035015
122,1,9677.377203
109,1,9687.771068
112,1,9698.133652
116,1,9708.416612
119,1,9718.971433
0,1,9728.671464
0,1,9738.171969
0,1,9747.73142
0,1,9757.323652
0,1,9766.815294
105,1,9777.202139
114,1,9787.363948
0,1,9796.964795
0,1,9806.591427
0,1,9816.276283
0,1,9826.021699
0,1,9835.783822
110,1,9846.259684
0,1,9855.88847
0,1,9865.571544
0,1,9875.001086
117,1,9885.279415
0,1,9894.827005
0,1,9904.37698
112,1,9914.876046
112,1,9925.198354
111,1,9935.445509
0,1,9945.041198
0,1,9954.647648
0,1,9964.227615
0,1,9973.850923
116,1,9984.368094
0,1,9994.183615
0,1,10003.952246
113,1,10014.232599
0,1,10023.901003
112,1,10034.138403
0,1,10043.913618
0,1,10053.575604
0,1,10063.039654
0,1,10072.585253
120,1,10082.843827
114,1,10093.08973
0,1,10102.631456
0,1,10112.313523
122,1,10122.549077
119,1,10132.944521
0,1,10142.52768
0,1,10152.031048
111,1,10162.295514
117,1,10172.558159
0,1,10182.175388
116,1,10192.64387
117,1,10202.98855
0,1,10212.667733
0,1,10222.358387
85,1,10243.137882
0,1,10252.340998
0,1,10261.555226
83,1,10281.480758
0,1,10290.574083
0,1,10299.588987
87,1,10319.517205
85,1,10339.557041
0,1,10349.14742
121,1,10359.476172
110,1,10369.839995
123,1,10380.272432
0,1,10389.828296
124,1,10400.253073
0,1,10409.822686
113,1,10420.201736
116,1,10430.664137
0,1,10440.311543
0,1,10449.817959
119,1,10460.167691
0,1,10469.708429
115,1,10480.018505
121,1,10490.396291
0,1,10499.972215
0,1,10509.500038
104,1,10519.796255
115,1,10530.108014
123,1,10540.464008
119,1,10550.897565
0,1,10560.452929
0,1,10570.16841
119,1,10580.539607
0,1,10590.144511
0,1,10599.79216
0,1,10609.336425
112,1,10619.695815
113,1,10629.98771
118,1,10640.231528
0,1,10649.840039
110,1,10660.132541
0,1,10669.651098
0,1,10679.116199
0,1,10688.65091
103,1,10698.771524
0,1,10708.25214
0,1,10717.760715
109,1,10727.892165
0,1,10737.356469
0,1,10746.83985
121,1,10757.203934
0,1,10766.73718
0,1,10776.215736
110,1,10786.398123
0,1,10795.906384
0,1,10805.435676
108,1,10815.728188
0,1,10825.232033
113,1,10835.560243
0,1,10845.012834
113,1,10855.402519
109,1,10865.585733
113,1,10875.93915
0,1,10885.452156
112,1,10895.871907
0,1,10905.472047
0,1,10915.058309
0,1,10924.55576
115,1,10934.855457
0,1,10944.367729
0,1,10953.959363
0,1,10963.523854
0,1,10973.069213
107,1,10983.379721
116,1,10993.752559
0,1,11003.365516
119,1,11013.659481
0,1,11023.151382
0,1,11032.647876
122,1,11042.910968
108,1,11052.947334
0,1,11062.519929
110,1,11072.739972
0,1,11082.299427
0,1,11091.945597
0,1,11101.509137
0,1,11110.948582
108,1,11121.310753
111,1,11131.728854
108,1,11142.099528
120,1,11152.49562
0,1,11162.125745
0,1,11171.647747
0,1,11181.283864
0,1,11190.980891
110,1,11201.292139
0,1,11210.852467
0,1,11220.364637
115,1,11230.722185
116,1,11241.035402
105,1,11251.202244
106,1,11262.163434
0,1,11271.622804
0,1,11281.172887
122,1,11291.528954
0,1,11301.067362
124,1,11311.324373
112,1,11321.504415
119,1,11331.701807
108,1,11341.993324
112,1,11352.261271
0,1,11361.803371
0,1,11371.395603
0,1,11381.011711
0,1,11390.627505
0,1,11400.160043
120,1,11410.494963
110,1,11420.739012
123,1,11430.923613
111,1,11441.279858
0,1,11450.771526
0,1,11460.254641
0,1,11469.795599
118,1,11479.868563
115,1,11490.282763
0,1,11499.795464
0,1,11509.280552
113,1,11519.487561
106,1,11529.931389
0,1,11539.484187
112,1,11549.696353
102,1,11559.720399
117,1,11569.940114
108,1,11580.260309
105,1,11590.534905
111,1,11600.697296
111,1,11610.886728
0,1,11620.431773
0,1,11629.979741
112,1,11640.229532
0,1,11649.821934
124,1,11660.244572
0,1,11669.768298
123,1,11680.085387
0,1,11689.624572
116,1,11699.960431
119,1,11710.339798
117,1,11720.728809
116,1,11731.008993
0,1,11740.580777
118,1,11750.89991
105,1,11761.05286
111,1,11771.495734
0,1,11781.130338
0,1,11790.751041
108,1,11800.98616
0,1,11810.508126
0,1,11820.1639
0,1,11829.808126
0,1,11839.335479
0,1,11848.939848
0,1,11858.45608
0,1,11867.887946
110,1,11878.175575
0,1,11887.714735
0,1,11897.336795
0,1,11906.84749
0,1,11916.245961
117,1,11926.54067
0,1,11936.060185
0,1,11945.679601
0,1,11955.237928
0,1,11964.85217
0,1,11974.415807
107,1,11984.397647
116,1,11994.723931
114,1,12005.146864
115,1,12015.567616
106,1,12026.084158
0,1,12035.531596
0,1,12044.834748
0,1,12054.118736
0,1,12063.345595
0,1,12072.534487
82,1,12092.839961
0,1,12102.221849
81,1,12122.267529
0,1,12131.527184
0,1,12140.876729
82,1,12160.934314
0,1,12170.655953
0,1,12180.244184
0,1,12189.912599
111,1,12200.265586
112,1,12210.72189
113,1,12221.099782
0,1,12230.804506
0,1,12240.34911
0,1,12249.936182
103,1,12260.255702
0,1,12269.818575
0,1,12279.924747
122,1,12290.273063
105,1,12300.595546
117,1,12310.965057
113,1,12321.30415
106,1,12331.592802
0,1,12341.163535
108,1,12351.484156
0,1,12360.999959
120,1,12371.372767
114,1,12381.798313
113,1,12392.186927
0,1,12401.924389
0,1,12411.543032
0,1,12421.115897
113,1,12431.449322
0,1,12441.051444
0,1,12450.724147
0,1,12460.298564
0,1,12469.996742
119,1,12480.259749
115,1,12490.601718
123,1,12500.883626
0,1,12510.364911
116,1,12520.621944
121,1,12530.968229
115,1,12541.168067
114,1,12551.586701
119,1,12561.765047
0,1,12571.436023
98,1,12581.756959
102,1,12592.121817
0,1,12601.691227
114,1,12611.939727
0,1,12621.483956
0,1,12631.084605
111,1,12641.339677
0,1,12650.830107
0,1,12660.452078
114,1,12670.857975
0,1,12680.513827
0,1,12690.063009
115,1,12700.244873
115,1,12710.51809
112,1,12720.633035
120,1,12730.96513
122,1,12741.398938
115,1,12751.70764
113,1,12762.005139
0,1,12771.512438
0,1,12781.09635
111,1,12791.337463
109,1,12801.752978
0,1,12811.468179
0,1,12821.031404
113,1,12831.417059
0,1,12840.956421
0,1,12850.350583
0,1,12859.913048
0,1,12869.418544
0,1,12879.012961
0,1,12888.483711
115,1,12898.721654
0,1,12908.248399
107,1,12918.615645
0,1,12928.139863
120,1,12938.527877
106,1,12948.701609
0,1,12958.132105
0,1,12967.63085
105,1,12977.892108
0,1,12987.503339
114,1,12997.840726
0,1,13007.411623
0,1,13016.921662
0,1,13026.502993
0,1,13036.062909
119,1,13046.37291
117,1,13056.489573
126,1,13066.787707
0,1,13076.303864
114,1,13086.691307
0,1,13096.200228
116,1,13106.507906
0,1,13116.026931
0,1,13125.488568
123,1,13135.86939
0,1,13145.364149
113,1,13155.848711
0,1,13165.362646
0,1,13174.89664
111,1,13185.239429
112,1,13195.431826
0,1,13205.058515
119,1,13215.383741
121,1,13225.861095
0,1,13235.475946
0,1,13245.001369
0,1,13254.6523
115,1,13265.120761
0,1,13275.172218
115,1,13285.48397
107,1,13295.981246
0,1,13305.579686
0,1,13315.151902
0,1,13324.705032
0,1,13334.283668
0,1,13343.822995
0,1,13353.391601
0,1,13362.872322
124,1,13373.295488
0,1,13382.935004
115,1,13393.340411
0,1,13402.90574
112,1,13413.264549
123,1,13423.573194
0,1,13433.134931
111,1,13443.422862
107,1,13453.591904
0,1,13463.113625
0,1,13472.608278
0,1,13482.130309
109,1,13492.334283
0,1,13501.87205
0,1,13511.391541
110,1,13521.519766
0,1,13531.057888
116,1,13541.272538
0,1,13550.765525
112,1,13561.080568
116,1,13571.376203
0,1,13580.863991
0,1,13590.431403
114,1,13600.615992
124,1,13611.097846
0,1,13620.609792
110,1,13630.775912
0,1,13640.439496
0,1,13649.955566
0,1,13659.595672
126,1,13669.998795
109,1,13680.234735
0,1,13689.924617
112,1,13700.220532
0,1,13709.815322
107,1,13719.98848
121,1,13730.406762
0,1,13739.992112
109,1,13750.149024
0,1,13759.639335
0,1,13769.216856
0,1,13778.658447
115,1,13789.058709
0,1,13798.582906
117,1,13808.831976
0,1,13818.380033
112,1,13828.680005
0,1,13838.171193
83,1,13858.166143
0,1,13867.27349
0,1,13876.339135
84,1,13896.537208
0,1,13905.930749
0,1,13915.226315
0,1,13924.491206
82,1,13944.464289
84,1,13964.555216
109,1,13974.860897
0,1,13984.385134
117,1,13994.679672
115,1,14004.962925
105,1,14015.071554
0,1,14024.576029
117,1,14034.831396
115,1,14045.252136
0,1,14054.895813
121,1,14065.203616
113,1,14075.69634
127,1,14086.172273
0,1,14095.883214
123,1,14106.564975
115,1,14117.154987
0,1,14126.812706
0,1,14136.579778
114,1,14146.684123
